tld,u-label,registration-date,removal-date,info-link
cs,,1990-10,1995-01,http://www.ccwhois.org/ccwhois/cctld/CS-history.txt
nato,,1990-04-10,1996-07,https://web.archive.org/web/20000818230018/http://www.iiia.org/lists/newdom/current/1008.html
zr,,1996-09-26,2001-06-22,https://www.iana.org/reports/2001/zr-report-20jun01.html
vrsn-end-of-zone-marker-dummy-record,,2006-04-15,2006-04-28,http://ajdlinux.blogspot.com/2006/04/where-did-root-tld-come-from-part-2.html
um,,1997-12-04,2008-04-20,https://www.iana.org/reports/2007/um-report-10jan2007.html
yu,,1989-06-15,2010-04-02,https://www.iana.org/reports/2010/yu-report-01apr2010.html
root,,2001-06-25,2010-07-15,https://lists.dns-oarc.net/pipermail/dns-operations/2010-May/005501.html
xn--0zwm56d,测试,2007-10-19,2013-11-01,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--11b5bs3a9aj6g,परीक्षा,2007-10-19,2013-11-01,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--80akhbyknj4f,испытание,2007-10-19,2013-11-01,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--9t4b11yi5a,테스트,2007-10-19,2013-11-01,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--deba0ad,טעסט,2007-10-19,2013-11-01,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--g6w251d,測試,2007-10-19,2013-11-01,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--hgbk6aj7f53bba,آزمایشی,2007-10-19,2013-11-01,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--hlcj6aya9esc7a,பரிட்சை,2007-10-19,2013-11-01,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--jxalpdlp,δοκιμή,2007-10-19,2013-11-01,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--kgbechtv,إختبار,2007-10-19,2013-11-01,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--zckzah,テスト,2007-10-19,2013-11-01,https://www.icann.org/news/announcement-2-2013-10-02-en
tp,,1997-05-09,2015-03-01,https://www.iana.org/reports/2015/tp-report-20150126.html
an,,1993-09-09,2015-08-04,https://www.iana.org/reports/2011/cw-report-20111003.html
doosan,,2014-10-30,2016-02-24,https://www.iana.org/reports/c.2.9.2.d/20160219-doosan
flsmidth,,2014-09-25,2016-07-29,http://www.iana.org/reports/c.2.9.2.d/20160722-flsmidth
iinet,,2014-08-18,2016-12-21,http://mm.icann.org/pipermail/gtldnotification/2016-December/001246.html
mutuelle,,2015-09-2,2016-12-21,http://mm.icann.org/pipermail/gtldnotification/2016-December/001245.html
orientexpress,,,2017-04-14,
mtpc,,,2017-05-15,
